Execution times in seconds 
82.473
101.547
77.779
41.822
41.544
42.643
43.072
41.501
40.41
41.605


 Best makespans 
43546.0 44385.0
43859.0 43552.0
44265.0 43310.0
44831.0 43040.0
46810.0 42496.0
46993.0 41822.0
47680.0 41757.0
47779.0 41588.0
48391.0 41417.0
48898.0 41042.0
49031.0 40893.0
49719.0 40415.0
50247.0 40191.0
50711.0 39843.0
50942.0 39521.0
51796.0 39324.0
52378.0 39021.0
52644.0 38868.0
52870.0 38177.0
52939.0 38142.0
53220.0 38122.0
53676.0 37554.0
54942.0 37551.0
55507.0 37499.0
55685.0 37038.0
56315.0 36606.0
56349.0 36435.0
56899.0 35980.0
58454.0 35899.0
58961.0 34980.0
59223.0 34731.0
59329.0 34188.0
60091.0 33937.0
60929.0 33549.0
63439.0 33484.0
63511.0 32661.0
64159.0 32139.0
65019.0 32055.0
65722.0 31632.0
65780.0 31107.0
66643.0 31071.0
66671.0 29858.0
66699.0 29571.0
66894.0 29490.0
68832.0 29101.0
68893.0 28542.0
69155.0 28342.0
69776.0 28137.0
71144.0 27848.0
71656.0 27646.0
73102.0 27421.0
73405.0 27367.0
75010.0 27202.0
75763.0 27148.0
76636.0 26854.0
76979.0 26645.0
78759.0 25765.0
80069.0 25666.0
81689.0 25358.0
82035.0 25356.0
82699.0 25034.0
83891.0 24918.0
86412.0 24781.0
87624.0 24726.0
88666.0 24427.0
89421.0 24126.0
89635.0 23985.0
92520.0 23710.0
92783.0 23691.0
93633.0 23575.0
95991.0 23296.0
99846.0 23207.0
99911.0 22805.0
101872.0 22654.0
102132.0 22559.0
102929.0 22368.0
106841.0 21798.0
108183.0 21684.0
111084.0 21351.0
113409.0 21071.0
113974.0 21004.0
116562.0 20819.0
118255.0 20795.0
118753.0 20728.0
120426.0 20533.0
121156.0 20294.0
121238.0 20168.0
123035.0 19944.0
125197.0 19721.0
125961.0 19593.0
126620.0 19334.0
129145.0 19205.0
132263.0 19000.0
133605.0 18735.0
141760.0 18159.0
142159.0 17991.0
143981.0 17928.0
145179.0 17870.0
149091.0 17443.0
150770.0 17347.0
155321.0 17216.0
158231.0 17199.0
159841.0 17130.0
166426.0 17094.0
170635.0 16746.0
178066.0 16532.0

43646.0 46719.0
43807.0 45093.0
43831.0 44409.0
44344.0 44061.0
44358.0 43908.0
44667.0 43638.0
45003.0 43397.0
46011.0 43137.0
46130.0 42949.0
46346.0 42879.0
47158.0 42591.0
47159.0 42394.0
47853.0 42026.0
48258.0 41007.0
49056.0 41001.0
49131.0 40616.0
49140.0 40452.0
49348.0 40026.0
49837.0 39805.0
50353.0 39704.0
50529.0 39661.0
51258.0 39598.0
51327.0 39580.0
51740.0 39517.0
52103.0 39449.0
52205.0 39171.0
52646.0 38905.0
53396.0 38539.0
53647.0 37959.0
54043.0 37354.0
54494.0 37230.0
55869.0 37042.0
56011.0 36921.0
56321.0 36604.0
56723.0 36575.0
57209.0 36356.0
57254.0 36169.0
57772.0 35794.0
57822.0 35499.0
58054.0 35300.0
58191.0 35157.0
58665.0 34647.0
59763.0 34608.0
59861.0 34279.0
60299.0 34243.0
60803.0 34129.0
60977.0 33958.0
61665.0 33859.0
62094.0 33798.0
63054.0 33426.0
63201.0 33364.0
63735.0 32867.0
65033.0 32445.0
65461.0 32297.0
65529.0 32118.0
